Index_code,Date,Open,Close,Low,High,Volume,Money,Change,Label
sh000001,37119,1948.27,1919.65,1918.49,1950.46,4515659000,5405538000,-0.0142,1928.14
sh000001,37120,1916.84,1924,1909.67,1928.14,4283345000,4945063700,0.0023,1937.16
sh000001,37123,1923.1,1934.49,1917.1,1937.16,5990497000,6349408600,0.0055,1947.4
sh000001,37124,1936.06,1938.87,1935.77,1947.4,5030480000,5834753800,0.0023,1935.56
sh000001,37125,1935.54,1903.45,1891.35,1935.56,6665444000,7531068100,-0.0183,1903.47
sh000001,37126,1892.37,1902.99,1869.49,1903.47,5418833000,7039790200,-0.0002,1912.19
sh000001,37127,1903.38,1886.8,1883.24,1912.19,7783669000,6626117200,-0.0085,1881.31
sh000001,37130,1881.31,1827.25,1824.88,1881.31,6422406000,8533415700,-0.0316,1843.44
sh000001,37131,1816.66,1843.39,1795.57,1843.44,5792216000,7195598900,0.0088,1865.48
sh000001,37132,1846.82,1847.54,1837.94,1865.48,5007758000,6435768500,0.0023,1846.54
sh000001,37133,1846.19,1839.63,1831.02,1846.54,3337667000,4167963500,-0.0043,1846.94
sh000001,37134,1838.21,1834.14,1831.52,1846.94,3136065000,3657217000,-0.003,1831.8
sh000001,37137,1831.7,1817.19,1813.37,1831.8,3757565000,4566065400,-0.0092,1862.4
sh000001,37138,1815.27,1862.36,1814.92,1862.4,5776750000,7228937200,0.0249,1888.9
sh000001,37139,1868.36,1868.27,1863.83,1888.9,5767578000,7342648800,0.0032,1876.47
sh000001,37140,1867.63,1861.56,1853.29,1876.47,4010226000,5237039300,-0.0036,1858.24
sh000001,37141,1858.24,1808.84,1807.14,1858.24,5342606000,6510054100,-0.0283,1858.2
sh000001,37144,1790.21,1856.53,1774.83,1858.2,6135467000,7570420300,0.0264,1871.13
sh000001,37145,1859.97,1863.78,1849.61,1871.13,5186900000,6564937600,0.0039,1858.69
sh000001,37146,1822.13,1852.6,1815.59,1858.69,9590515000,9852090600,-0.006,1857.86
sh000001,37147,1851.62,1839.91,1837.82,1857.86,3884512000,4730889800,-0.0068,1846.02
sh000001,37148,1838.67,1818.38,1814.74,1846.02,4997797000,5505286700,-0.0117,1816.26
sh000001,37151,1811.9,1784.61,1782.5,1816.26,5286835000,5668956000,-0.0186,1817.56
sh000001,37152,1784.59,1798.62,1780.05,1817.56,4073289000,4488183700,0.0079,1822.97
